Day,日期,平台,類型,主題,文案,Hashtag,搭配圖,最佳時間,連結
D1,2026-05-30,FB+IG,療癒共鳴,痛點開場：內心的空洞,"你有沒有這種時刻——明明日子過得不算糟，但內心好像有一個空洞，怎麼填都填不滿。黃彥蓁老師做了35年色彩療癒，看過太多女性外表光鮮、內在卻在掙扎。不是不努力，是沒人教過她們怎麼安靜地回到自己。曼陀羅心靈彩繪，是一條溫柔的回家路。16屆累積500+件學員作品。第十七屆招生中，留言「+1」我私訊你詳細資料。",#曼陀羅心靈彩繪 #色彩療癒 #第十七屆招生 #心靈彩繪 #療癒,MEITU_20251211_130609391.jpg,21:00,https://mandala-serina.netlify.app
D2,2026-05-31,IG+Threads,信任見證,講師故事：35年前的我,"35年前，我第一次拿起畫筆，不是為了畫得漂亮，是為了讓自己活下去。我以為成功是別人定義的，直到發現自己什麼都好、就是「我」不好。是曼陀羅救了我。35年後我帶過16屆、超過500位學員，看著她們從緊繃到綻放。第十七屆，我想邀請正在讀這篇文的你。",#曼陀羅心靈彩繪 #色彩療癒 #第十七屆招生 #黃彥蓁,老師肖像,20:00,https://mandala-serina.netlify.app
D3,2026-06-01,FB,課程價值,為什麼第十七屆值得,"為什麼第十七屆值得投資？35年色彩科學×心理學整合、16屆完整教學系統、每班限6人、結業即可獨立開課、黃彥蓁老師親自帶班、3年陪伴福利複訓學費永遠NT$0。兩日深度浸潤18小時培訓，早鳥NT$21,000（含NT$4,800材料與餐點）。",#色彩療癒講師培訓 #曼陀羅 #第十七屆招生,showcase-01.jpg,12:30,https://mandala-serina.netlify.app
D4,2026-06-02,IG限動+Threads,行動轉換,6月班開課提醒,"第十七屆6月班名額倒數中：台中假日班G 6/6+6/7、台中平日班H 6/11+6/18、台北假日班F 6/13+6/14。每班限6人額滿即止，想搭6月班這週是關鍵。",#曼陀羅 #第十七屆招生,班別日曆圖,22:00,https://mandala-serina.netlify.app
D5,2026-06-03,FB+IG,療癒共鳴,不知道為什麼累,"「老師，我不是不快樂，我只是覺得好累。」那種累不是睡一覺就會好，是找不到自己的累。畫曼陀羅時你不需說話、不需解釋，只需把專注放在一個點一條線上。畫著畫著，那個一直在外面奔跑的你就慢慢回來了。第十七屆師資班招生中。",#曼陀羅 #色彩療癒 #情緒療癒 #第十七屆招生,artwork-03.jpg,21:00,https://mandala-serina.netlify.app
D6,2026-06-04,IG,信任見證,學員見證：兩個孩子的媽,"「老師，我從來沒想過我可以靠畫畫養活自己。」這是一位學員結業時說的話。她是兩個孩子的媽媽，原本只想排解情緒，後來成為了講師。16屆500+位學員裡，有人療癒自己，也有人把療癒帶給更多人。這不是行銷數字，是被重寫的人生。",#曼陀羅心靈彩繪 #學員見證 #第十七屆招生,celebration-01.jpg,20:00,https://mandala-serina.netlify.app
D7,2026-06-05,FB,課程價值,零基礎也能學FAQ,"最常被問的3個問題：①完全沒美術基礎可以嗎？完全可以，曼陀羅不需會畫畫只需願意靜下來，過去16屆近半學員零基礎。②上完課真能當老師？兩日結業即可獨立開課並享3年陪伴。③划算嗎？18小時培訓早鳥NT$21,000，每小時約NT$1,167且含NT$4,800材料餐點。",#曼陀羅 #色彩療癒講師培訓 #第十七屆招生,showcase-05.jpg,12:30,https://mandala-serina.netlify.app
D8,2026-06-06,IG限動+Threads,行動轉換,台中假日班開課,"今天台中假日班G開課了！新的一班6位夥伴，從一張白紙開始，兩天後帶著作品和一身平靜回家。每一屆都是新故事的起點。平日班H 6/11、台北班F 6/13還有位置。",#曼陀羅 #第十七屆招生,開課現場照,09:00,https://mandala-serina.netlify.app
D9,2026-06-07,FB+IG,療癒共鳴,回到自己的路,"我們花好多力氣去成為別人期待的樣子——好員工好媽媽好太太好女兒，唯獨忘了怎麼好好當自己。曼陀羅是一條溫柔的回家路，它不催你不評價你，只是陪你一筆一筆把散落的自己撿回來。第十七屆師資班招生中，給自己一份久違的安靜。",#曼陀羅 #回到自己 #色彩療癒 #第十七屆招生,artwork-05.jpg,21:00,https://mandala-serina.netlify.app
D10,2026-06-08,IG+Threads,信任見證,16屆數據說話,"16屆不是巧合：授課滿16屆、累積500+件學員作品、每班最多6人小班、全程黃彥蓁老師親自帶領、結業即可獨立開課。一條經過嚴格篩選的師資養成路徑，35年色彩與心靈的修行，濃縮成你能帶走的兩天。第十七屆正在招生。",#曼陀羅心靈彩繪 #第十七屆招生 #講師培訓,BY THE NUMBERS圖卡,20:00,https://mandala-serina.netlify.app
D11,2026-06-09,FB,課程價值,兩日課程在學什麼,"兩天你會經歷什麼？Day1認識曼陀羅×色彩與心靈的對話，從中心一個點開始把專注交給每條線每個顏色。Day2團體共創，新舊生共畫一幅大作，每個人的筆觸都在裡面，每屆都不一樣。18小時不只學技法，是學會一套能教給別人的療癒系統。",#曼陀羅 #講師培訓 #第十七屆招生,showcase-08.jpg,12:30,https://mandala-serina.netlify.app
D12,2026-06-10,IG限動+Threads,行動轉換,台中平日班倒數1天,"台中平日班H明天6/11開課。如果你一直在等準備好的那一天，偷偷告訴你：那一天不會自己來，是你決定的那一刻它才開始。平日班H還有最後名額，今晚之前都還來得及。",#曼陀羅 #第十七屆招生,倒數圖卡,22:00,https://mandala-serina.netlify.app
D13,2026-06-11,FB+IG,療癒共鳴,給想要又怕的你,"寫給正在猶豫的你：我知道你看了網站很多次，也許截圖傳給朋友，甚至打開報名表又關上幾次。我懂那種想要又怕的心情，35年前的我也是這樣站在門口。不是每個決定都要100%確定才能做，有時你只需先走出第一步，剩下的老師陪你走。第十七屆留位給你。",#曼陀羅心靈彩繪 #第十七屆招生 #黃彥蓁,MEITU_20251211_130609391.jpg,21:00,https://mandala-serina.netlify.app
D14,2026-06-12,IG,信任見證,學員作品：畫到哭,"這是一位學員的作品。她說：老師我畫到第三層的時候哭了，不知道為什麼但好舒服。這就是曼陀羅的力量，它不會逼你說話，但會讓你聽見自己的聲音。每一件作品都是一個人和自己和好的證據。下一件會不會是你的？",#曼陀羅 #學員作品 #色彩療癒 #第十七屆招生,artwork-02.jpg,20:00,https://mandala-serina.netlify.app
D15,2026-06-13,IG限動+Threads,行動轉換,台北假日班開課,"台北假日班F今天開課！松江路的藝文堂裡，又有6位夥伴要開始曼陀羅旅程。台北場一向搶手，錯過別擔心——台中7月班7/4、7/9還有位置。",#曼陀羅 #第十七屆招生,台北開課照,09:00,https://mandala-serina.netlify.app
D16,2026-06-14,FB,課程價值,3年陪伴福利,"付一次學費獲得一輩子師資支援。3年陪伴福利：教學疑問老師親自解答、講師價進貨材料、複訓學費永遠NT$0（彩繪界首創亞洲唯一，3年內回來複訓只需場地材料費）、未來參與全台開課。我們賣的不是一堂課，是一條走得長久的路。",#曼陀羅 #講師培訓 #第十七屆招生,showcase-10.jpg,21:00,https://mandala-serina.netlify.app
D17,2026-06-15,IG+Threads,行動轉換,早鳥現省價值,"早鳥報名實際省多少？原價NT$22,800早鳥NT$21,000現省NT$1,800。課程已含NT$4,800材料餐點＋3年複訓學費NT$0的長期價值，等同現省NT$6,600。早鳥至7/28，但6月班會先額滿。",#曼陀羅 #早鳥優惠 #第十七屆招生,價值對比圖,20:00,https://mandala-serina.netlify.app
D18,2026-06-16,FB+IG,療癒共鳴,成功的定義,"我們都被教過要成功，卻很少有人教我們要快樂。於是我們拚命往前跑，跑到某天突然停下問自己：我到底在追什麼？曼陀羅不會給你答案，但會給你一段安靜的時間，讓你聽見心裡真正的聲音。35年來黃彥蓁老師陪500+位學員走過這段路。",#曼陀羅 #色彩療癒 #自我探索 #第十七屆招生,artwork-07.jpg,21:00,https://mandala-serina.netlify.app
D19,2026-06-17,IG,信任見證,團體共創大作品,"每屆最難忘的是壓軸團體共創，新生與舊生一起完成一幅大型曼陀羅。第13屆畫愛心海浪、第15屆紫橘花卉，每個人的筆觸都在裡面，每屆都不一樣。那一刻你會明白：療癒可以是一個人的安靜，也可以是一群人的共振。",#曼陀羅 #團體共創 #第十七屆招生,第13屆愛心海浪作品,20:00,https://mandala-serina.netlify.app
D20,2026-06-18,IG限動+Threads,行動轉換,7月班名額提醒,"6月班陸續開課中，7月班開放報名：台中假日班I 7/4+7/5、台中平日班J 7/9+7/16。每班限6人，早鳥7/28截止但名額通常會先沒。想要的現在就留位。",#曼陀羅 #第十七屆招生,班別日曆圖,22:00,https://mandala-serina.netlify.app
D21,2026-06-19,FB,課程價值,結業即可獨立開課,"上完課真能當老師嗎？能，而且不孤單。兩日結業後即可獨立開班授課，還有黃彥蓁老師3年陪伴：教學卡關隨時問、材料講師價進貨、複訓學費永遠NT$0。我們不是教你畫一幅畫，是給你一份能養活自己也能療癒別人的能力。",#曼陀羅 #講師培訓 #斜槓 #第十七屆招生,celebration-02.jpg,12:30,https://mandala-serina.netlify.app
D22,2026-06-20,IG+Threads,行動轉換,週末報名提醒,"週末給自己2分鐘，不是滑手機的2分鐘，是為自己做一個決定的2分鐘。填一張報名表，黃彥蓁老師會親自跟你聊聊，適不適合慢慢看不勉強。但這份想要，別讓它又被滑掉了。",#曼陀羅 #第十七屆招生 #週末療癒,報名表截圖卡,11:00,https://mandala-serina.netlify.app
D23,2026-06-21,FB+IG,療癒共鳴,安靜地回到自己,"你有多久沒有為自己安靜地坐下來了？不滑手機不回訊息不想待辦，只是單純地和自己待在一起。畫曼陀羅的兩天就是這樣一段只屬於自己的時間。很多學員說那是他們近年來最安靜也最踏實的兩天。第十七屆，給自己這份禮物。",#曼陀羅 #色彩療癒 #自我照顧 #第十七屆招生,artwork-04.jpg,21:00,https://mandala-serina.netlify.app
D24,2026-06-22,IG,信任見證,講師親自呼喚,"我不會推銷課程。35年來我只想做一件事——讓更多人透過色彩回到自己。如果你看到這裡心裡有一點被觸動，那不是巧合，是你內在的某個聲音在輕輕告訴你：也許可以試試看。我在第十七屆等你。——黃彥蓁",#曼陀羅心靈彩繪 #第十七屆招生 #黃彥蓁,老師教學照,20:00,https://mandala-serina.netlify.app
D25,2026-06-23,IG限動+Threads,行動轉換,7/4假日班倒數,"台中7月假日班7/4名額遞減中。問自己一個問題：一年後的我會感謝今天報名的決定嗎？如果答案是會，那就別讓猶豫幫你做了不報名的決定。",#曼陀羅 #第十七屆招生,倒數圖卡,22:00,https://mandala-serina.netlify.app
D26,2026-06-24,FB,課程價值,學費拆解,"兩天的課會不會太貴？換個方式算：早鳥NT$21,000、18小時培訓、每小時約NT$1,167，且已含NT$4,800材料餐點、結業可獨立開課的能力、3年陪伴複訓學費NT$0。它不是花費，是一張能用一輩子的入場券。早鳥7/28截止，6月班已陸續額滿。",#曼陀羅 #講師培訓 #第十七屆招生,showcase-12.jpg,12:30,https://mandala-serina.netlify.app
D27,2026-06-25,IG+Threads,行動轉換,一年後的你,"一年後的今天你希望自己在哪裡？是依然想學但還沒開始，還是已經拿起畫筆甚至開始教別人畫？時間不會等人，但機會會留給願意先走一步的人。第十七屆台中7月班還有位置。",#曼陀羅 #第十七屆招生 #改變從現在開始,artwork-06.jpg,20:00,https://mandala-serina.netlify.app
D28,2026-06-26,FB+IG,療癒共鳴,溫柔的回家路,"曼陀羅梵文意思是圓。圓沒有起點也沒有終點，就像我們和自己的關係——無論走多遠都有一條路能回到中心。35年來黃彥蓁老師用色彩陪500+位學員走這條回家的路。如果你也累了，歡迎來坐下畫一個圓。第十七屆師資班招生中。",#曼陀羅心靈彩繪 #色彩療癒 #回到自己 #第十七屆招生,MEITU_20251211_130609391.jpg,21:00,https://mandala-serina.netlify.app
D29,2026-06-27,IG,信任見證,學員見證收尾,"結業那天一位學員紅著眼眶說：老師謝謝你，這兩天我好像把弄丟的自己一點一點撿回來了。這句話我記了很多年。這就是為什麼即使做了16屆，我還是為每一屆全力以赴。第十七屆，我想再聽一次這樣的話——從你口中。",#曼陀羅心靈彩繪 #學員見證 #第十七屆招生,celebration-03.jpg,11:00,https://mandala-serina.netlify.app
D30,2026-06-28,FB+IG+Threads,行動轉換,月底總結,"這個月有好幾位夥伴從猶豫走到了報名，也已在課堂畫出第一幅曼陀羅。如果你也看了一整月心裡那個想要還在——第十七屆7月班還有最後幾個位置：台中假日班I 7/4+7/5、台中平日班J 7/9+7/16，早鳥7/28截止每班限6人。別讓下次再說變成又一年的遺憾。",#曼陀羅心靈彩繪 #第十七屆招生 #早鳥優惠,showcase-03.jpg,21:00,https://mandala-serina.netlify.app
